starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 01 17:39:10 2014	1393688350	0	29067	29068	1
Sat Mar 01 17:39:10 2014	1393688350	0	29073	29074	1
Sat Mar 01 17:39:10 2014	1393688350	2	29076	29078	62
Sat Mar 01 17:38:41 2014	1393688321	2	29077	29079	11
Sat Mar 01 17:38:11 2014	1393688291	3	29079	29082	7
Sat Mar 01 17:35:50 2014	1393688150	1	29090	29091	1
Sat Mar 01 17:37:44 2014	1393688264	1	29093	29094	14
Sat Mar 01 17:37:14 2014	1393688234	3	29099	29102	61
Sat Mar 01 17:39:09 2014	1393688349	1	29102	29103	5
Sat Mar 01 17:37:11 2014	1393688231	1	29105	29106	6
Sat Mar 01 17:38:44 2014	1393688324	1	29105	29106	18
Sat Mar 01 17:39:10 2014	1393688350	2	29115	29118	62
Sat Mar 01 17:37:44 2014	1393688264	9	29118	29126	50
Sat Mar 01 17:39:10 2014	1393688350	0	29132	29132	1
Sat Mar 01 17:41:09 2014	1393688469	1	29132	29133	7
Sat Mar 01 17:38:39 2014	1393688319	0	29143	29143	1
Sat Mar 01 17:40:17 2014	1393688417	6	29140	29146	12
Sat Mar 01 17:38:43 2014	1393688323	19	29128	29147	32
Sat Mar 01 17:38:12 2014	1393688292	5	29151	29156	28
Sat Mar 01 17:37:44 2014	1393688264	1	29160	29161	4
Sat Mar 01 17:39:10 2014	1393688350	2	29160	29163	12
Sat Mar 01 17:37:14 2014	1393688234	6	29158	29163	117
Sat Mar 01 17:37:11 2014	1393688231	1	29170	29170	39
Sat Mar 01 17:38:12 2014	1393688292	3	29175	29177	114
Sat Mar 01 17:35:50 2014	1393688150	1	29182	29182	1
Sat Mar 01 17:38:41 2014	1393688321	1	29184	29185	14
Sat Mar 01 17:37:11 2014	1393688231	3	29182	29186	46
Sat Mar 01 17:41:12 2014	1393688472	3	29187	29190	95
Sat Mar 01 17:39:10 2014	1393688350	0	29190	29190	1
Sat Mar 01 17:38:40 2014	1393688320	3	29187	29190	83
Sat Mar 01 17:35:48 2014	1393688148	3	29191	29194	27
Sat Mar 01 17:35:49 2014	1393688149	0	29203	29204	0
Sat Mar 01 17:40:18 2014	1393688418	1	29208	29209	19
Sat Mar 01 17:39:10 2014	1393688350	13	29199	29212	7
Sat Mar 01 17:39:10 2014	1393688350	6	29208	29214	75
Sat Mar 01 17:41:12 2014	1393688472	2	29224	29226	14
Sat Mar 01 17:37:13 2014	1393688233	6	29224	29229	3
Sat Mar 01 17:37:43 2014	1393688263	10	29220	29230	58
Sat Mar 01 17:37:43 2014	1393688263	1	29230	29231	1
Sat Mar 01 17:40:20 2014	1393688420	0	29235	29235	0
Sat Mar 01 17:37:42 2014	1393688262	1	29238	29239	2
Sat Mar 01 17:37:42 2014	1393688262	2	29238	29239	15
Sat Mar 01 17:37:13 2014	1393688233	1	29241	29242	3
Sat Mar 01 17:39:10 2014	1393688350	6	29239	29245	4
Sat Mar 01 17:37:44 2014	1393688264	1	29270	29272	39
Sat Mar 01 17:38:12 2014	1393688292	1	29277	29278	1
Sat Mar 01 17:39:10 2014	1393688350	3	29277	29280	199
Sat Mar 01 17:38:13 2014	1393688293	11	29271	29281	52
Sat Mar 01 17:37:11 2014	1393688231	1	29282	29282	4
Sat Mar 01 17:37:15 2014	1393688235	17	29293	29310	128
Sat Mar 01 17:37:13 2014	1393688233	1	29310	29311	9
Sat Mar 01 17:37:12 2014	1393688232	5	29307	29312	151
Sat Mar 01 17:39:09 2014	1393688349	3	29309	29312	77
Sat Mar 01 17:38:13 2014	1393688293	1	29312	29312	21
Sat Mar 01 17:39:10 2014	1393688350	1	29322	29323	1
Sat Mar 01 17:37:41 2014	1393688261	4	29323	29327	205
Sat Mar 01 17:38:12 2014	1393688292	1	29335	29336	1
Sat Mar 01 17:37:44 2014	1393688264	6	29339	29345	17
Sat Mar 01 17:37:43 2014	1393688263	5	29352	29358	12
Sat Mar 01 17:38:11 2014	1393688291	3	29356	29359	30
Sat Mar 01 17:37:13 2014	1393688233	1	29360	29360	1
Sat Mar 01 17:38:12 2014	1393688292	1	29360	29361	1
Sat Mar 01 17:38:12 2014	1393688292	1	29363	29363	34
Sat Mar 01 17:37:41 2014	1393688261	1	29373	29374	22
Sat Mar 01 17:37:43 2014	1393688263	2	29375	29377	17
Sat Mar 01 17:37:15 2014	1393688235	5	29393	29398	116
Sat Mar 01 17:38:11 2014	1393688291	1	29404	29405	1
Sat Mar 01 17:37:43 2014	1393688263	5	29406	29410	1
Sat Mar 01 17:38:11 2014	1393688291	1	29410	29411	17
Sat Mar 01 17:37:11 2014	1393688231	1	29411	29412	8
Sat Mar 01 17:37:13 2014	1393688233	1	29413	29414	1
Sat Mar 01 17:37:43 2014	1393688263	1	29420	29420	2
Sat Mar 01 17:37:14 2014	1393688234	4	29420	29424	234
Sat Mar 01 17:40:19 2014	1393688419	0	29427	29427	0
Sat Mar 01 17:38:11 2014	1393688291	1	29427	29428	16
Sat Mar 01 17:37:43 2014	1393688263	6	29423	29430	15
Sat Mar 01 17:37:11 2014	1393688231	1	29429	29430	153
Sat Mar 01 17:37:11 2014	1393688231	6	29431	29437	88
Sat Mar 01 17:38:43 2014	1393688323	2	29439	29441	110
Sat Mar 01 17:41:04 2014	1393688464	3	29438	29441	57
Sat Mar 01 17:38:13 2014	1393688293	1	29442	29442	88
Sat Mar 01 17:37:14 2014	1393688234	1	29442	29443	8
Sat Mar 01 17:38:40 2014	1393688320	5	29445	29449	17
Sat Mar 01 17:37:13 2014	1393688233	0	29457	29457	1
Sat Mar 01 17:38:11 2014	1393688291	1	29457	29458	1
Sat Mar 01 17:37:40 2014	1393688260	3	29455	29458	155
Sat Mar 01 17:37:41 2014	1393688261	7	29453	29460	25
Sat Mar 01 17:38:43 2014	1393688323	5	29458	29463	14
Sat Mar 01 17:37:41 2014	1393688261	17	29448	29466	113
Sat Mar 01 17:37:44 2014	1393688264	10	29457	29467	51
Sat Mar 01 17:37:42 2014	1393688262	1	29467	29468	15
Sat Mar 01 17:41:10 2014	1393688470	2	29467	29469	11
Sat Mar 01 17:38:12 2014	1393688292	1	29469	29470	44
Sat Mar 01 17:41:38 2014	1393688498	5	29467	29472	213
Sat Mar 01 17:38:42 2014	1393688322	5	29468	29473	327
Sat Mar 01 17:37:40 2014	1393688260	2	29476	29477	63
Sat Mar 01 17:37:43 2014	1393688263	1	29479	29479	11
Sat Mar 01 17:38:41 2014	1393688321	5	29482	29488	145
Sat Mar 01 17:38:11 2014	1393688291	6	29482	29488	25
Sat Mar 01 17:41:12 2014	1393688472	1	29491	29491	5
Sat Mar 01 17:37:42 2014	1393688262	2	29505	29507	1
Sat Mar 01 17:37:42 2014	1393688262	3	29514	29518	5
Sat Mar 01 17:38:43 2014	1393688323	1	29517	29518	1
Sat Mar 01 17:37:15 2014	1393688235	6	29513	29519	109
Sat Mar 01 17:37:41 2014	1393688261	1	29527	29528	32
Sat Mar 01 17:38:12 2014	1393688292	1	29530	29531	16
Sat Mar 01 17:37:42 2014	1393688262	1	29533	29534	3
Sat Mar 01 17:37:13 2014	1393688233	1	29554	29555	1
Sat Mar 01 17:37:42 2014	1393688262	7	29554	29560	16
Sat Mar 01 17:37:43 2014	1393688263	1	29561	29562	1
Sat Mar 01 17:37:42 2014	1393688262	1	29568	29569	59
Sat Mar 01 17:38:10 2014	1393688290	1	29575	29575	6
Sat Mar 01 17:37:41 2014	1393688261	7	29571	29578	62
Sat Mar 01 17:37:40 2014	1393688260	5	29574	29579	159
Sat Mar 01 17:38:13 2014	1393688293	1	29578	29579	9
Sat Mar 01 17:38:40 2014	1393688320	3	29576	29579	10
Sat Mar 01 17:38:11 2014	1393688291	12	29577	29590	115
Sat Mar 01 17:37:43 2014	1393688263	1	29589	29590	8
Sat Mar 01 17:37:15 2014	1393688235	3	29596	29599	113
Sat Mar 01 17:41:12 2014	1393688472	2	29609	29612	117
Sat Mar 01 17:37:40 2014	1393688260	1	29612	29613	6
Sat Mar 01 17:38:11 2014	1393688291	5	29609	29614	43
Sat Mar 01 17:38:11 2014	1393688291	1	29614	29614	1
Sat Mar 01 17:38:11 2014	1393688291	1	29626	29627	1
Sat Mar 01 17:37:13 2014	1393688233	3	29625	29628	12
Sat Mar 01 17:37:12 2014	1393688232	4	29632	29637	8
Sat Mar 01 17:40:19 2014	1393688419	5	29636	29641	5
Sat Mar 01 17:38:12 2014	1393688292	5	29639	29644	114
Sat Mar 01 17:38:40 2014	1393688320	1	29648	29649	62
Sat Mar 01 17:37:13 2014	1393688233	2	29655	29656	4
Sat Mar 01 17:38:09 2014	1393688289	8	29666	29674	93
Sat Mar 01 17:38:10 2014	1393688290	7	29670	29678	171
Sat Mar 01 17:38:11 2014	1393688291	16	29669	29685	134
Sat Mar 01 17:38:40 2014	1393688320	1	29698	29699	16
Sat Mar 01 17:37:11 2014	1393688231	3	29701	29703	76
