starttime	seconds	ctime	dtime	ttime	wait
Sat Mar 01 18:08:49 2014	1393690129	3	21920	21923	6
Sat Mar 01 18:10:47 2014	1393690247	8	21922	21930	2
Sat Mar 01 18:09:36 2014	1393690176	1	21933	21933	1
Sat Mar 01 18:10:38 2014	1393690238	0	21943	21943	1
Sat Mar 01 18:15:28 2014	1393690528	1	21943	21944	1
Sat Mar 01 18:10:22 2014	1393690222	1	21971	21971	8
Sat Mar 01 18:10:46 2014	1393690246	0	21991	21991	1
Sat Mar 01 18:10:39 2014	1393690239	7	22009	22016	102
Sat Mar 01 18:11:08 2014	1393690268	2	22049	22051	4
Sat Mar 01 18:09:09 2014	1393690149	2	22049	22051	1
Sat Mar 01 18:10:19 2014	1393690219	3	22060	22063	2
Sat Mar 01 18:09:36 2014	1393690176	0	22100	22101	1
Sat Mar 01 18:10:46 2014	1393690246	0	22135	22135	2
Sat Mar 01 18:09:36 2014	1393690176	2	22150	22151	4
Sat Mar 01 18:15:30 2014	1393690530	5	22153	22158	2
Sat Mar 01 18:09:05 2014	1393690145	1	22165	22166	29
Sat Mar 01 18:10:16 2014	1393690216	0	22189	22190	0
Sat Mar 01 18:08:35 2014	1393690115	2	22201	22203	2
Sat Mar 01 18:15:30 2014	1393690530	1	22229	22230	0
Sat Mar 01 18:10:45 2014	1393690245	2	22281	22283	1
Sat Mar 01 18:10:46 2014	1393690246	0	22290	22290	6
Sat Mar 01 18:10:56 2014	1393690256	0	22300	22301	1
Sat Mar 01 18:09:10 2014	1393690150	1	22343	22344	1
Sat Mar 01 18:09:23 2014	1393690163	6	22342	22348	2
Sat Mar 01 18:14:37 2014	1393690477	3	22353	22356	4
Sat Mar 01 18:08:49 2014	1393690129	0	22358	22358	1
Sat Mar 01 18:09:09 2014	1393690149	2	22358	22360	2
Sat Mar 01 18:09:05 2014	1393690145	7	22358	22365	8
Sat Mar 01 18:09:07 2014	1393690147	0	22373	22373	1
Sat Mar 01 18:11:57 2014	1393690317	7	22389	22395	4
Sat Mar 01 18:09:13 2014	1393690153	0	22398	22398	0
Sat Mar 01 18:10:19 2014	1393690219	2	22412	22414	9
Sat Mar 01 18:10:48 2014	1393690248	3	22452	22455	5
Sat Mar 01 18:10:48 2014	1393690248	0	22467	22467	1
Sat Mar 01 18:09:02 2014	1393690142	1	22467	22468	95
Sat Mar 01 18:10:23 2014	1393690223	0	22473	22474	1
Sat Mar 01 18:09:13 2014	1393690153	1	22485	22486	2
Sat Mar 01 18:08:48 2014	1393690128	1	22502	22503	1
Sat Mar 01 18:08:58 2014	1393690138	0	22506	22506	1
Sat Mar 01 18:09:06 2014	1393690146	0	22530	22531	1
Sat Mar 01 18:10:27 2014	1393690227	5	22586	22592	2
Sat Mar 01 18:09:36 2014	1393690176	2	22598	22599	22
Sat Mar 01 18:09:58 2014	1393690198	2	22601	22603	1
Sat Mar 01 18:11:04 2014	1393690264	1	22604	22604	5
Sat Mar 01 18:10:23 2014	1393690223	2	22607	22610	1
Sat Mar 01 18:08:49 2014	1393690129	1	22616	22617	5
Sat Mar 01 18:10:49 2014	1393690249	3	22626	22628	2
Sat Mar 01 18:09:14 2014	1393690154	1	22637	22638	1
